"DayNum","overall_success_rate","total_attempts"
1,0.595121951219512,205
2,0.554054054054054,222
3,0.523012552301255,239
4,0.595854922279793,193
5,0.579387186629527,359
6,0.561111111111111,180
7,0.621739130434783,230
8,0.622837370242214,289
9,0.6,250
10,0.590243902439024,205
11,0.620347394540943,403
12,0.616666666666667,240
13,0.622222222222222,135
14,0.675675675675676,222
15,0.655339805825243,206
16,0.662222222222222,225
17,0.680412371134021,97
18,0.638888888888889,180
19,0.671641791044776,201
20,0.628318584070796,113
21,0.53763440860215,93
